# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/home/ngs-01/ngs1_project/sample_data/chr22_with_ERCC92.gtf" "-g" "gene_name" "-o" "counts.txt" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_001.sorted.bam" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_002.sorted.bam" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_003.sorted.bam" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_004.sorted.bam" "/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_005.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign1.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign2.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign3.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign4.sorted.bam" "/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign5.sorted.bam" 
Geneid	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_001.sorted.bam	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_002.sorted.bam	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_003.sorted.bam	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_004.sorted.bam	/home/ngs-01/ngs1_project/bwa_align/bwaAlign_unshuffled_sample_part_005.sorted.bam	/home/ngs-01/ngs1_project/hisat_align/shuffeled_hisatAlign1.sorted.bam
CECR9	0	0	0	0	0	0
RN7SL843P	0	0	0	0	0	0
CECR2	0	0	0	0	0	0
AC004019.10	0	0	0	0	0	0
CLCP1	0	0	0	0	0	0
DNAJA1P6	0	0	0	0	0	0
SLC25A18	0	0	0	0	0	0
AC004019.13	0	0	0	0	0	0
ATP6V1E1	0	0	0	0	0	134
BCL2L13	0	0	0	0	0	85
BID	0	0	0	0	0	95
MIR3198-1	0	0	0	0	0	4
LINC00528	0	0	0	0	0	2
MICAL3	0	0	0	0	0	75
XXbac-B461K10.4	0	0	0	0	0	0
MIR648	0	0	0	0	0	0
XXbac-B476C20.14	0	0	0	0	0	0
XXbac-B476C20.13	0	0	0	0	0	0
RHEBP3	0	0	0	0	0	0
FLJ41941	0	0	0	0	0	0
XXbac-B476C20.9	0	0	0	0	0	0
PEX26	0	0	0	0	0	66
XXbac-B476C20.11	0	0	0	0	0	0
XXbac-B476C20.10	0	0	0	0	0	0
ARL2BPP10	0	0	0	0	0	0
TUBA8	0	0	0	0	0	0
AC008079.10	0	0	0	0	0	4
USP18	0	0	0	0	0	121
AC008079.9	0	0	0	0	0	0
GGTLC5P	0	0	0	0	0	0
AC011718.2	0	0	0	0	0	0
AC011718.3	0	0	0	0	0	0
PPP1R26P3	0	0	0	0	0	0
XXbac-B33L19.6	0	0	0	0	0	0
FAM230A	0	0	0	0	0	0
XXbac-B33L19.12	0	0	0	0	0	0
GGTLC3	0	0	0	0	0	0
Metazoa_SRP	0	0	0	0	0	0
XXbac-B33L19.15	0	0	0	0	0	0
TMEM191B	0	0	0	0	0	0
PI4KAP1	0	0	0	0	0	34
SCARNA17	0	0	0	0	0	0
RN7SKP131	0	0	0	0	0	0
RIMBP3	0	0	0	0	0	0
XXbac-B33L19.10	0	0	0	0	0	0
CA15P2	0	0	0	0	0	0
PPP1R26P2	0	0	0	0	0	0
PPP1R26P4	0	0	0	0	0	0
AC008132.15	0	0	0	0	0	0
GGT3P	0	0	0	0	0	0
AC008132.14	0	0	0	0	0	0
E2F6P1	0	0	0	0	0	2
AC008132.13	0	0	0	0	0	0
BCRP7	0	0	0	0	0	0
AC008103.3	0	0	0	0	0	0
AC008103.4	0	0	0	0	0	0
DGCR6	0	0	0	0	0	0
PRODH	0	0	0	0	0	0
AC007326.1	0	0	0	0	0	1
AC007326.10	0	0	0	0	0	0
DGCR5	0	0	0	0	0	0
AC007326.12	0	0	0	0	0	0
AC007326.9	0	0	0	0	0	0
AC000095.12	0	0	0	0	0	0
DGCR9	0	0	0	0	0	0
AC000095.9	0	0	0	0	0	0
AC000095.11	0	0	0	0	0	0
CA15P1	0	0	0	0	0	0
DGCR2	0	0	0	0	0	216
Y_RNA	0	0	0	0	0	0
DGCR11	0	0	0	0	0	4
AC004461.4	0	0	0	0	0	0
DGCR12	0	0	0	0	0	0
AC004471.9	0	0	0	0	0	0
AC004471.10	0	0	0	0	0	0
TSSK1A	0	0	0	0	0	0
DGCR14	0	0	0	0	0	44
TSSK2	0	0	0	0	0	0
GSC2	0	0	0	0	0	0
LINC01311	0	0	0	0	0	2
SLC25A1	0	0	0	0	0	113
CLTCL1	0	0	0	0	0	10
AC000081.2	0	0	0	0	0	0
SNORA15	0	0	0	0	0	0
KRT18P62	0	0	0	0	0	0
HIRA	0	0	0	0	0	22
C22orf39	0	0	0	0	0	16
RN7SL168P	0	0	0	0	0	0
MRPL40	0	0	0	0	0	43
AC000068.5	0	0	0	0	0	0
UFD1L	0	0	0	0	0	139
AC000068.9	0	0	0	0	0	0
AC000068.10	0	0	0	0	0	0
CDC45	0	0	0	0	0	61
CLDN5	0	0	0	0	0	316
LINC00895	0	0	0	0	0	0
AC000077.2	0	0	0	0	0	0
AC000067.1	0	0	0	0	0	0
SEPT5	0	0	0	0	0	28
GP1BB	0	0	0	0	0	0
TBX1	0	0	0	0	0	20
GNB1L	0	0	0	0	0	10
AC000089.3	0	0	0	0	0	1676
C22orf29	0	0	0	0	0	115
TXNRD2	0	0	0	0	0	174
AC000078.5	0	0	0	0	0	1
COMT	0	0	0	0	0	269
ARVCF	0	0	0	0	0	86
TANGO2	0	0	0	0	0	35
MIR185	0	0	0	0	0	0
AC006547.13	0	0	0	0	0	6
AC006547.15	0	0	0	0	0	0
DGCR8	0	0	0	0	0	140
AC006547.8	0	0	0	0	0	0
TRMT2A	0	0	0	0	0	31
MIR6816	0	0	0	0	0	0
RANBP1	0	0	0	0	0	269
SNORA77	0	0	0	0	0	0
ZDHHC8	0	0	0	0	0	176
CCDC188	0	0	0	0	0	4
XXbac-B444P24.8	0	0	0	0	0	0
LINC00896	0	0	0	0	0	0
RTN4R	0	0	0	0	0	2
MIR1286	0	0	0	0	0	0
XXbac-B444P24.10	0	0	0	0	0	2
DGCR6L	0	0	0	0	0	64
XXbac-B444P24.13	0	0	0	0	0	2
XXbac-B444P24.14	0	0	0	0	0	2
AC007731.1	0	0	0	0	0	0
XXbac-B33L19.4	0	0	0	0	0	0
USP41	0	0	0	0	0	0
ZNF74	0	0	0	0	0	36
RNU6-225P	0	0	0	0	0	0
SCARF2	0	0	0	0	0	20
XXbac-B562F10.12	0	0	0	0	0	0
KLHL22	0	0	0	0	0	24
XXbac-B562F10.11	0	0	0	0	0	10
RNY1P9	0	0	0	0	0	0
RN7SL812P	0	0	0	0	0	0
KRT18P5	0	0	0	0	0	4
MED15	0	0	0	0	0	229
AC007050.17	0	0	0	0	0	0
CCDC74BP1	0	0	0	0	0	0
SMPD4P1	0	0	0	0	0	0
IGLL4P	0	0	0	0	0	0
SLC9A3P2	0	0	0	0	0	0
ABHD17AP4	0	0	0	0	0	31
POM121L4P	0	0	0	0	0	0
BCRP5	0	0	0	0	0	0
TMEM191A	0	0	0	0	0	0
PI4KA	0	0	0	0	0	155
SERPIND1	0	0	0	0	0	25
SNAP29	0	0	0	0	0	51
AC007308.7	0	0	0	0	0	0
CRKL	0	0	0	0	0	208
XXbac-B135H6.15	0	0	0	0	0	0
AIFM3	0	0	0	0	0	0
LZTR1	0	0	0	0	0	84
XXbac-B135H6.18	0	0	0	0	0	0
THAP7	0	0	0	0	0	11
THAP7-AS1	0	0	0	0	0	5
TUBA3FP	0	0	0	0	0	0
P2RX6	0	0	0	0	0	0
SLC7A4	0	0	0	0	0	0
AC002472.11	0	0	0	0	0	0
MIR649	0	0	0	0	0	0
P2RX6P	0	0	0	0	0	0
LRRC74B	0	0	0	0	0	0
TUBA3GP	0	0	0	0	0	0
BCRP2	0	0	0	0	0	0
KB-1592A4.15	0	0	0	0	0	0
POM121L7	0	0	0	0	0	0
E2F6P2	0	0	0	0	0	0
FAM230B	0	0	0	0	0	0
KB-1592A4.14	0	0	0	0	0	0
GGT2	0	0	0	0	0	0
KB-1592A4.16	0	0	0	0	0	0
E2F6P3	0	0	0	0	0	0
POM121L8P	0	0	0	0	0	0
BCRP6	0	0	0	0	0	0
KB-1183D5.13	0	0	0	0	0	0
KB-1183D5.14	0	0	0	0	0	0
PPP1R26P5	0	0	0	0	0	0
KB-1183D5.18	0	0	0	0	0	0
KB-1183D5.16	0	0	0	0	0	0
RIMBP3B	0	0	0	0	0	0
RN7SKP63	0	0	0	0	0	0
HIC2	0	0	0	0	0	14
TMEM191C	0	0	0	0	0	0
PI4KAP2	0	0	0	0	0	11
RN7SKP221	0	0	0	0	0	0
RIMBP3C	0	0	0	0	0	0
UBE2L3	0	0	0	0	0	385
YDJC	0	0	0	0	0	29
CCDC116	0	0	0	0	0	0
KB-1440D3.14	0	0	0	0	0	0
SDF2L1	0	0	0	0	0	60
MIR130B	0	0	0	0	0	0
MIR301B	0	0	0	0	0	0
KB-1440D3.13	0	0	0	0	0	0
PPIL2	0	0	0	0	0	65
YPEL1	0	0	0	0	0	2
RN7SL280P	0	0	0	0	0	0
MAPK1	0	0	0	0	0	351
RNA5SP493	0	0	0	0	0	0
KB-1027C11.4	0	0	0	0	0	6
PPM1F	0	0	0	0	0	398
LL22NC03-86G7.1	0	0	0	0	0	11
TOP3B	0	0	0	0	0	0
PRAMENP	0	0	0	0	0	0
IGLVI-70	0	0	0	0	0	0
IGLV4-69	0	0	0	0	0	0
IGLVI-68	0	0	0	0	0	0
LL22NC03-23C6.13	0	0	0	0	0	0
LL22NC03-23C6.12	0	0	0	0	0	0
IGLV10-67	0	0	0	0	0	0
LL22NC03-23C6.15	0	0	0	0	0	0
IGLVIV-66-1	0	0	0	0	0	0
IGLVV-66	0	0	0	0	0	0
IGLVIV-65	0	0	0	0	0	0
IGLVIV-64	0	0	0	0	0	0
IGLVI-63	0	0	0	0	0	0
IGLV1-62	0	0	0	0	0	0
LL22NC03-88E1.18	0	0	0	0	0	0
IGLV8-61	0	0	0	0	0	0
LL22NC03-88E1.17	0	0	0	0	0	0
ABHD17AP5	0	0	0	0	0	50
LL22NC03-30E12.10	0	0	0	0	0	0
LL22NC03-30E12.11	0	0	0	0	0	0
IGLV4-60	0	0	0	0	0	0
LL22NC03-30E12.13	0	0	0	0	0	0
SOCS2P2	0	0	0	0	0	0
IGLVIV-59	0	0	0	0	0	0
IGLVV-58	0	0	0	0	0	0
BMP6P1	0	0	0	0	0	0
IGLV6-57	0	0	0	0	0	0
IGLVI-56	0	0	0	0	0	0
IGLV11-55	0	0	0	0	0	0
IGLV10-54	0	0	0	0	0	0
IGLVIV-53	0	0	0	0	0	0
TOP3BP1	0	0	0	0	0	0
LL22NC03-123E1.5	0	0	0	0	0	0
VPREB1	0	0	0	0	0	0
CH17-264L24.1	0	0	0	0	0	5
LL22NC03-2H8.5	0	0	0	0	0	0
LL22NC03-2H8.4	0	0	0	0	0	0
BMS1P20	0	0	0	0	0	0
LL22NC03-80A10.6	0	0	0	0	0	2
IGLV5-52	0	0	0	0	0	0
IGLV1-51	0	0	0	0	0	0
IGLV1-50	0	0	0	0	0	0
LL22NC03-80A10.11	0	0	0	0	0	0
IGLV9-49	0	0	0	0	0	0
LL22NC03-75A1.9	0	0	0	0	0	0
IGLV5-48	0	0	0	0	0	0
IGLV1-47	0	0	0	0	0	0
LL22NC03-22A12.9	0	0	0	0	0	0
IGLV7-46	0	0	0	0	0	0
LL22NC03-22A12.12	0	0	0	0	0	0
IGLV5-45	0	0	0	0	0	0
IGLV1-44	0	0	0	0	0	0
IGLV7-43	0	0	0	0	0	0
IGLVI-42	0	0	0	0	0	0
IGLVVII-41-1	0	0	0	0	0	0
IGLV1-41	0	0	0	0	0	0
IGLV1-40	0	0	0	0	0	0
ASH2LP1	0	0	0	0	0	0
IGLVI-38	0	0	0	0	0	0
IGLV5-37	0	0	0	0	0	0
IGLV1-36	0	0	0	0	0	0
KB-288A10.17	0	0	0	0	0	0
IGLV7-35	0	0	0	0	0	0
KB-288A10.19	0	0	0	0	0	0
ZNF280B	0	0	0	0	0	4
ZNF280A	0	0	0	0	0	2
PRAME	0	0	0	0	0	0
LL22NC03-63E9.3	0	0	0	0	0	0
IGLV2-34	0	0	0	0	0	0
IGLV2-33	0	0	0	0	0	0
IGLV3-32	0	0	0	0	0	0
IGLV3-31	0	0	0	0	0	0
IGLV3-30	0	0	0	0	0	0
BCRP4	0	0	0	0	0	0
POM121L1P	0	0	0	0	0	0
GGTLC2	0	0	0	0	0	0
IGLV3-29	0	0	0	0	0	0
IGLV2-28	0	0	0	0	0	0
IGLV3-27	0	0	0	0	0	0
IGLV3-26	0	0	0	0	0	0
IGLVVI-25-1	0	0	0	0	0	0
IGLV3-25	0	0	0	0	0	0
LL22NC03-102D1.16	0	0	0	0	0	0
LL22NC03-102D1.18	0	0	0	0	0	0
IGLV3-24	0	0	0	0	0	0
IGLV2-23	0	0	0	0	0	0
IGLVVI-22-1	0	0	0	0	0	0
IGLV3-22	0	0	0	0	0	0
IGLV3-21	0	0	0	0	0	0
IGLVI-20	0	0	0	0	0	0
IGLV3-19	0	0	0	0	0	0
LL22NC03-48A11.14	0	0	0	0	0	0
IGLV2-18	0	0	0	0	0	0
IGLV3-17	0	0	0	0	0	0
IGLV3-16	0	0	0	0	0	0
IGLV3-15	0	0	0	0	0	0
IGLV2-14	0	0	0	0	0	0
IGLV3-13	0	0	0	0	0	0
IGLV3-12	0	0	0	0	0	0
LL22NC03-24A12.8	0	0	0	0	0	0
LL22NC03-24A12.9	0	0	0	0	0	0
IGLV2-11	0	0	0	0	0	0
LL22NC03-84E4.13	0	0	0	0	0	0
IGLV3-10	0	0	0	0	0	0
LL22NC03-84E4.11	0	0	0	0	0	0
IGLV3-9	0	0	0	0	0	0
IGLV2-8	0	0	0	0	0	0
LL22NC03-84E4.8	0	0	0	0	0	0
IGLV3-7	0	0	0	0	0	0
IGLV3-6	0	0	0	0	0	0
IGLV2-5	0	0	0	0	0	0
IGLV3-4	0	0	0	0	0	0
IGLV4-3	0	0	0	0	0	0
IGLV3-2	0	0	0	0	0	0
IGLV3-1	0	0	0	0	0	0
MIR5571	0	0	0	0	0	0
IGLL5	0	0	0	0	0	0
IGLJ1	0	0	0	0	0	0
IGLC1	0	0	0	0	0	0
IGLJ2	0	0	0	0	0	0
IGLC2	0	0	0	0	0	0
IGLJ3	0	0	0	0	0	0
IGLC3	0	0	0	0	0	0
IGLJ4	0	0	0	0	0	0
IGLC4	0	0	0	0	0	0
IGLJ5	0	0	0	0	0	0
IGLC5	0	0	0	0	0	0
IGLJ6	0	0	0	0	0	0
IGLC6	0	0	0	0	0	0
IGLJ7	0	0	0	0	0	0
IGLC7	0	0	0	0	0	0
AP000361.2	0	0	0	0	0	0
AP000362.1	0	0	0	0	0	0
RSPH14	0	0	0	0	0	0
GNAZ	0	0	0	0	0	3
U7	0	0	0	0	0	0
RAB36	0	0	0	0	0	4
BCR	0	0	0	0	0	418
BCRP8	0	0	0	0	0	0
RN7SL263P	0	0	0	0	0	0
FBXW4P1	0	0	0	0	0	6
AP000343.1	0	0	0	0	0	0
AP000343.2	0	0	0	0	0	0
CES5AP1	0	0	0	0	0	0
ZDHHC8P1	0	0	0	0	0	0
KB-1269D1.8	0	0	0	0	0	0
AP000344.3	0	0	0	0	0	0
AP000344.4	0	0	0	0	0	0
AP000345.1	0	0	0	0	0	0
AP000345.4	0	0	0	0	0	0
PCAT14	0	0	0	0	0	0
AP000345.2	0	0	0	0	0	0
IGLL1	0	0	0	0	0	0
KB-208E9.1	0	0	0	0	0	0
KB-1572G7.5	0	0	0	0	0	0
DRICH1	0	0	0	0	0	0
KB-1572G7.4	0	0	0	0	0	0
KB-1572G7.3	0	0	0	0	0	0
GUSBP11	0	0	0	0	0	0
AP000347.4	0	0	0	0	0	1
ASLP1	0	0	0	0	0	0
KB-1572G7.2	0	0	0	0	0	0
AP000347.2	0	0	0	0	0	0
RGL4	0	0	0	0	0	2
ZNF70	0	0	0	0	0	4
VPREB3	0	0	0	0	0	0
C22orf15	0	0	0	0	0	0
CHCHD10	0	0	0	0	0	22
MMP11	0	0	0	0	0	17
AP000349.2	0	0	0	0	0	0
SMARCB1	0	0	0	0	0	141
DERL3	0	0	0	0	0	0
KB-1125A3.11	0	0	0	0	0	0
SLC2A11	0	0	0	0	0	3
AP000350.10	0	0	0	0	0	0
KB-1125A3.12	0	0	0	0	0	0
RN7SL268P	0	0	0	0	0	0
MIF	0	0	0	0	0	0
MIF-AS1	0	0	0	0	0	0
AP000350.5	0	0	0	0	0	0
AP000350.6	0	0	0	0	0	15
AP000350.7	0	0	0	0	0	0
AP000350.8	0	0	0	0	0	0
GSTT2B	0	0	0	0	0	29
KB-1125A3.10	0	0	0	0	0	0
DDTL	0	0	0	0	0	5
KB-226F1.2	0	0	0	0	0	0
DDT	0	0	0	0	0	18
AP000351.3	0	0	0	0	0	0
GSTT2	0	0	0	0	0	0
AP000351.4	0	0	0	0	0	0
GSTTP1	0	0	0	0	0	0
AP000351.13	0	0	0	0	0	0
CABIN1	0	0	0	0	0	154
KB-318B8.7	0	0	0	0	0	2
SUSD2	0	0	0	0	0	2
GGT5	0	0	0	0	0	84
GGTLC4P	0	0	0	0	0	0
POM121L9P	0	0	0	0	0	3
BCRP1	0	0	0	0	0	0
AP000354.2	0	0	0	0	0	9
SPECC1L	0	0	0	0	0	85
SPECC1L-ADORA2A	0	0	0	0	0	0
ADORA2A	0	0	0	0	0	0
ADORA2A-AS1	0	0	0	0	0	0
UPB1	0	0	0	0	0	0
AP000355.2	0	0	0	0	0	0
GUCD1	0	0	0	0	0	170
SNRPD3	0	0	0	0	0	161
GGT1	0	0	0	0	0	7
LRRC75B	0	0	0	0	0	3
AP000356.2	0	0	0	0	0	0
BCRP3	0	0	0	0	0	0
POM121L10P	0	0	0	0	0	0
ARL5AP4	0	0	0	0	0	5
AP000357.4	0	0	0	0	0	66
LL22NC03-N95F10.1	0	0	0	0	0	0
AP000358.5	0	0	0	0	0	0
CRIP1P4	0	0	0	0	0	0
PIWIL3	0	0	0	0	0	0
SGSM1	0	0	0	0	0	2
SNORD56	0	0	0	0	0	0
TMEM211	0	0	0	0	0	0
KIAA1671	0	0	0	0	0	130
CTA-243E7.4	0	0	0	0	0	0
CTA-243E7.3	0	0	0	0	0	0
CTA-243E7.2	0	0	0	0	0	0
CTA-243E7.1	0	0	0	0	0	0
CTA-221G9.12	0	0	0	0	0	0
CTA-221G9.10	0	0	0	0	0	4
CRYBB3	0	0	0	0	0	0
CTA-221G9.7	0	0	0	0	0	2
CRYBB2	0	0	0	0	0	0
CTA-221G9.11	0	0	0	0	0	0
RP3-462D8.2	0	0	0	0	0	0
IGLL3P	0	0	0	0	0	0
CTA-246H3.8	0	0	0	0	0	1
CTA-246H3.11	0	0	0	0	0	6
LRP5L	0	0	0	0	0	4
CTA-246H3.12	0	0	0	0	0	0
CTA-390C10.9	0	0	0	0	0	0
IGLVIVOR22-1	0	0	0	0	0	0
CRYBB2P1	0	0	0	0	0	44
MIR6817	0	0	0	0	0	0
CTA-390C10.10	0	0	0	0	0	0
CTA-407F11.8	0	0	0	0	0	0
GRK3	0	0	0	0	0	4
CTA-407F11.7	0	0	0	0	0	0
YES1P1	0	0	0	0	0	19
RNA5SP494	0	0	0	0	0	0
MYO18B	0	0	0	0	0	0
CTA-407F11.9	0	0	0	0	0	0
CTA-125H2.2	0	0	0	0	0	0
CTA-125H2.1	0	0	0	0	0	0
RN7SKP169	0	0	0	0	0	0
CTA-125H2.3	0	0	0	0	0	0
CTA-796E4.3	0	0	0	0	0	0
CTA-796E4.4	0	0	0	0	0	0
SEZ6L	0	0	0	0	0	0
RP11-259P1.1	0	0	0	0	0	0
RNA5SP495	0	0	0	0	0	0
CTB-1048E9.7	0	0	0	0	0	2
ASPHD2	0	0	0	0	0	16
HPS4	0	0	0	0	0	38
SRRD	0	0	0	0	0	40
TFIP11	0	0	0	0	0	45
CTA-445C9.14	0	0	0	0	0	2
TPST2	0	0	0	0	0	94
MIR548J	0	0	0	0	0	0
HMGB1P10	0	0	0	0	0	419
CRYBB1	0	0	0	0	0	0
CRYBA4	0	0	0	0	0	0
ISCA2P1	0	0	0	0	0	0
MIAT	0	0	0	0	0	0
MIAT_exon1	0	0	0	0	0	0
CTA-373H7.7	0	0	0	0	0	0
MIAT_exon5_1	0	0	0	0	0	0
MIAT_exon5_2	0	0	0	0	0	0
MIATNB	0	0	0	0	0	1
MIAT_exon5_3	0	0	0	0	0	0
LINC01422	0	0	0	0	0	0
RP1-40G4P.1	0	0	0	0	0	562
CTA-992D9.11	0	0	0	0	0	0
RNU6-1066P	0	0	0	0	0	0
CTA-992D9.10	0	0	0	0	0	0
CTA-992D9.9	0	0	0	0	0	0
CTA-992D9.6	0	0	0	0	0	0
CTA-992D9.8	0	0	0	0	0	0
CTA-992D9.7	0	0	0	0	0	0
CTA-503F6.2	0	0	0	0	0	0
RP5-1172A22.1	0	0	0	0	0	0
CTA-929C8.5	0	0	0	0	0	0
CTA-929C8.7	0	0	0	0	0	0
CTA-929C8.6	0	0	0	0	0	0
CTA-929C8.8	0	0	0	0	0	0
RP1-205F14P.1	0	0	0	0	0	0
RP11-46E17.6	0	0	0	0	0	0
RP1-231P7P.1	0	0	0	0	0	0
RP1-213J1P__B.1	0	0	0	0	0	0
RP1-213J1P__B.2	0	0	0	0	0	0
RP11-375H17.1	0	0	0	0	0	0
MN1	0	0	0	0	0	10
PITPNB	0	0	0	0	0	233
TTC28-AS1	0	0	0	0	0	4
TTC28-AS1_1	0	0	0	0	0	0
MIR3199-1	0	0	0	0	0	0
MIR3199-2	0	0	0	0	0	0
TTC28-AS1_2	0	0	0	0	0	0
TTC28	0	0	0	0	0	79
TTC28-AS1_3	0	0	0	0	0	0
TTC28-AS1_4	0	0	0	0	0	0
RN7SL757P	0	0	0	0	0	0
SNORD42	0	0	0	0	0	0
